raceyear,drivername,win,cumwin,racedate
1990,trips,0,2,1990-01-01
1990,trulli,0,0,1990-01-01
1990,vettel,0,0,1990-01-01
1990,villeneuve,0,0,1990-01-01
1990,vukovich,0,2,1990-01-01
1990,wallard,0,1,1990-01-01
1990,ward,0,1,1990-01-01
1990,watson,0,5,1990-01-01
1990,webber,0,0,1990-01-01
1991,berger,1,6,1991-01-01
1991,mansell,5,21,1991-01-01
1991,patrese,2,5,1991-01-01
1991,piquet,1,23,1991-01-01
1991,senna,7,33,1991-01-01
1991,alboreto,0,5,1991-01-01
1991,alesi,0,0,1991-01-01
1991,alonso,0,0,1991-01-01
1991,angelis,0,2,1991-01-01
1991,arnoux,0,7,1991-01-01
1991,ascari,0,13,1991-01-01
1991,baghetti,0,1,1991-01-01
1991,bandini,0,1,1991-01-01
1991,barrichello,0,0,1991-01-01
1991,beltoise,0,1,1991-01-01
1991,bonnier,0,1,1991-01-01
1991,bottas,0,0,1991-01-01
1991,boutsen,0,3,1991-01-01
1991,brambilla,0,1,1991-01-01
1991,brooks,0,6,1991-01-01
1991,bryan,0,1,1991-01-01
1991,button,0,0,1991-01-01
1991,cevert,0,1,1991-01-01
1991,clark,0,25,1991-01-01
1991,collins,0,3,1991-01-01
1991,coulthard,0,0,1991-01-01
1991,damon_hill,0,0,1991-01-01
1991,depailler,0,2,1991-01-01
1991,emerson_fittipaldi,0,14,1991-01-01
1991,fagioli,0,1,1991-01-01
1991,fangio,0,24,1991-01-01
1991,farina,0,5,1991-01-01
1991,fisichella,0,0,1991-01-01
1991,flaherty,0,1,1991-01-01
1991,frentzen,0,0,1991-01-01
1991,gethin,0,1,1991-01-01
1991,gilles_villeneuve,0,6,1991-01-01
1991,ginther,0,1,1991-01-01
1991,gonzalez,0,2,1991-01-01
1991,gurney,0,4,1991-01-01
1991,hakkinen,0,0,1991-01-01
1991,hamilton,0,0,1991-01-01
1991,hanks,0,1,1991-01-01
1991,hawthorn,0,3,1991-01-01
1991,herbert,0,0,1991-01-01
1991,hill,0,14,1991-01-01
1991,hulme,0,8,1991-01-01
1991,hunt,0,10,1991-01-01
1991,ickx,0,8,1991-01-01
1991,ireland,0,1,1991-01-01
1991,irvine,0,0,1991-01-01
1991,jabouille,0,2,1991-01-01
1991,jack_brabham,0,14,1991-01-01
1991,jones,0,12,1991-01-01
1991,keke_rosberg,0,5,1991-01-01
1991,kovalainen,0,0,1991-01-01
1991,kubica,0,0,1991-01-01
1991,laffite,0,6,1991-01-01
1991,lauda,0,25,1991-01-01
1991,leclerc,0,0,1991-01-01
1991,maldonado,0,0,1991-01-01
1991,mario_andretti,0,12,1991-01-01
1991,mass,0,1,1991-01-01
1991,massa,0,0,1991-01-01
1991,max_verstappen,0,0,1991-01-01
1991,mclaren,0,4,1991-01-01
1991,michael_schumacher,0,0,1991-01-01
1991,montoya,0,0,1991-01-01
1991,moss,0,16,1991-01-01
1991,musso,0,1,1991-01-01
1991,nannini,0,1,1991-01-01
1991,nilsson,0,1,1991-01-01
1991,pace,0,1,1991-01-01
1991,panis,0,0,1991-01-01
1991,parsons,0,1,1991-01-01
1991,peterson,0,10,1991-01-01
1991,phil_hill,0,3,1991-01-01
1991,pironi,0,3,1991-01-01
1991,prost,0,44,1991-01-01
1991,raikkonen,0,0,1991-01-01
1991,ralf_schumacher,0,0,1991-01-01
1991,rathmann,0,1,1991-01-01
1991,regazzoni,0,5,1991-01-01
1991,reutemann,0,12,1991-01-01
1991,revson,0,2,1991-01-01
1991,ricciardo,0,0,1991-01-01
1991,rindt,0,6,1991-01-01
1991,rodriguez,0,2,1991-01-01
1991,rosberg,0,0,1991-01-01
1991,ruttman,0,1,1991-01-01
1991,scarfiotti,0,1,1991-01-01
1991,scheckter,0,10,1991-01-01
1991,siffert,0,2,1991-01-01
1991,stewart,0,27,1991-01-01
1991,surtees,0,6,1991-01-01
1991,sweikert,0,1,1991-01-01
1991,tambay,0,2,1991-01-01
1991,taruffi,0,1,1991-01-01
1991,trintignant,0,2,1991-01-01
1991,trips,0,2,1991-01-01
1991,trulli,0,0,1991-01-01
